track_id,name,popularity
1,Chicken Fried,76
2,Knee Deep (feat. Jimmy Buffett),72
3,Toes,71
4,Colder Weather,69
5,Homegrown,67
6,Whatever It Is,65
7,As She's Walking Away (feat. Alan Jackson),64
8,Free,62
9,Loving You Easy,61
10,Highway 20 Ride,60
11,I Know You Know,50
12,Precious,43
13,Fall In,41
14,Thang (hips),39
15,Lest We Forget (blood),38
16,Judas,37
17,Ponta De Areia,37
18,You Have to Dance (feet),35
19,Sacred Grounds,28
20,I Can't Help It,30
21,exile (feat. Bon Iver),78
22,Rosyln,75
23,Skinny Love,70
24,Beach Baby,68
25,evermore (feat. Bon Iver),58
26,Holocene,62
27,Wash.,63
28,Re: Stacks,63
29,Blood Bank,63
30,"Hey, Ma",62
31,We Are Young (feat. Janelle Monáe),74
32,Some Nights,70
33,Carry On,61
34,C'mon - Single Version,55
35,Sight of the Sun - Single Version,50
36,The Gambler,48
37,All The Pretty Girls,47
38,Why Am I the One,45
39,Be Calm,45
40,All Alright,43
41,Can't Hold Us (feat. Ray Dalton),75
42,Thrift Shop (feat. Wanz),74
43,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",66
44,Wing$,60
45,Same Love (feat. Mary Lambert),54
46,White Walls (feat. ScHoolboy Q & Hollis),63
47,Dance Off (feat. Idris Elba & Anderson .Paak),55
48,Growing Up (feat. Ed Sheeran),40
49,Otherside (feat. Fences) [Ryan Lewis Remix],51
50,Irish Celebration,49
51,I'm Not The Only One,80
52,Stay With Me,80
53,Like I Can,80
54,Too Good At Goodbyes,73
55,Promises (with Sam Smith),75
56,Dancing With A Stranger (with Normani),70
57,Fire On Fire,74
58,How Do You Sleep?,65
59,Diamonds,69
60,Lay Me Down,72
61,Like I'm Gonna Lose You (feat. John Legend),77
62,Title,76
63,Better When I'm Dancin',73
64,Dear Future Husband,73
65,Me Too,72
66,All About That Bass,72
67,Lips Are Movin,71
68,NO,69
69,If You Love Her - feat. Meghan Trainor,62
70,Just a Friend to You,60
71,Holy (feat. Chance The Rapper),71
72,Cocoa Butter Kisses,70
73,No Problem (feat. Lil Wayne & 2 Chainz),69
74,Child of God,65
75,All Night (feat. Knox Fortune),64
76,Juke Jam (feat. Justin Bieber & Towkio),64
77,Cross Me (feat. Chance the Rapper & PnB Rock),60
78,Favorite Song,64
79,Hot Shower,64
80,Same Drugs,62
81,Scars To Your Beautiful,71
82,Stay,75
83,Out Of Love,73
84,Here,63
85,How Far I'll Go - Alessia Cara Version,65
86,"I Choose - From The Netflix Original Film ""The Willoughbys""",55
87,I'm Like A Bird - Recorded at Spotify Studios NYC,65
88,Best Days,64
89,River Of Tears,61
90,Canada (feat. Alessia Cara),61
91,Cold Heart - PNAU Remix,74
92,Sweetest Pie,86
93,Levitating (feat. DaBaby),85
94,Levitating,83
95,Don't Start Now,81
96,One Kiss (with Dua Lipa),81
97,New Rules,79
98,Prisoner (feat. Dua Lipa),79
99,IDGAF,78
100,Break My Heart,78
